Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359769aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359771aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359772aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359773aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359775aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359776aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359778aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359779aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359780aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359781aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359783aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359784aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359785aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359786aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359787aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359788aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359789aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359790aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359791aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359795aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359796aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359797aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359798aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359802aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359803aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359804aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359809aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC2_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC3_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC4_MWY-24-5969-02-b_human_DIA_Astral_2.mzML
O96006	O96006	ZBED1_HUMAN	ZBED1	E3 SUMO-protein ligase ZBED1	11925.1	12329.8	9054.76	9689.84	17089.1	12017.6	16708.6	15542	10483.1	6694.64	11279.9	10477.1	15491	11213.3	40390.4	9805.06	19147.7	10735.7	7039.96	13101.1	13534.5	13018.5	12854.6	12286.1	11101.6	9876.14	11112.2	12653	11303	14305.2	12727.4
O96007	O96007	MOC2B_HUMAN	MOCS2	Molybdopterin synthase catalytic subunit	29411.3	44281.4	27038.5	35144.1	33097.6	50743.4	25958.4	24813.4	77774.9	19915.5	31129.8	32760.9	62254.7	36028.6	23839.6	29438.7	39393.6	30720	38238.1	29369.8	30039.9	31479.6	35563.4	52204.2	39308.5	35763.3	22110.9	42661.5	42827.7	35000.4	47168.4
O96008	O96008;K7EKG4	TOM40_HUMAN	TOMM40	Mitochondrial import receptor subunit TOM40 homolog	513995	408447	670809	385184	444709	369466	402626	438596	169503	525837	277466	357335	645151	479530	570028	503873	485141	451307	566545	546821	473887	409070	446024	380372	394635	412867	565703	375080	389211	361126	376313
O96011	O96011	PX11B_HUMAN	PEX11B	Peroxisomal membrane protein 11B	82603.1	79555.1	112542	79614.3	80146.5	60474.9	88801.3	77240.8	33106.1	68039.9	56177.3	62796.1	87142.5	64143.6	98960.3	59231	54473.9	61258.7	63896	63350.8	69503.9	66691.9	65806.9	46437.9	75483	71387.8	75707.1	64185	64278.2	59320.3	63732.3
O96013	O96013	PAK4_HUMAN	PAK4	Serine/threonine-protein kinase PAK 4	64875.7	65350.5	70179.6	60833.9	57506	44493.8	104645	61047.8	33008.1	91838.6	43505.8	68520.5	58044.7	67398.3	64262.3	68906.1	70348.7	82063.9	57527.1	82290.3	64091.2	61593.9	72595.2	94859.9	79057.8	70958	69560.4	65863.4	73041	67531.5	64042.1
O96014	O96014	WNT11_HUMAN	WNT11	Protein Wnt-11	NA	4765.15	2293.53	2714.29	NA	28065.4	NA	NA	NA	7332.56	NA	NA	11786	4012.56	NA	NA	NA	1320.05	6434.03	NA	4311.77	10305.9	NA	NA	NA	NA	6461.61	6229.15	NA	14045.7	6222.97
O96017	O96017;A0A7P0MUT5;A0A087X102;H0Y820	CHK2_HUMAN	CHEK2	Serine/threonine-protein kinase Chk2	47512.6	25047.6	20208.2	23671.6	24986.6	18379.5	18560.6	22716.2	12334	43814.4	17652.5	15616.3	27771.9	21574.1	30755.5	20311.8	34591.2	17552.2	30517.5	27609.2	23847.4	16904.9	13917.4	34595.6	17760.7	15362.5	29405.1	23379.6	16970.2	22587	23948.3
O96018	O96018	APBA3_HUMAN	APBA3	Amyloid-beta A4 precursor protein-binding family A member 3	7691.94	5289.56	4878.67	13867.3	6506.38	7202.75	5685.45	8488.05	3780.9	6041.67	8904.39	6493.37	6204.76	8280.42	4382.98	6764.11	8261.94	5558.17	3674.89	7824.68	9664.21	8326.9	5491.6	7560.8	7853.49	5638.68	7165.36	7420.22	5937.47	8091.35	7709.35
O96019	O96019;C9JQT2;H7C5S0	ACL6A_HUMAN	ACTL6A	Actin-like protein 6A	183281	140452	159271	154093	192801	168308	184278	191140	97832.7	199437	135180	147106	199795	170819	194211	201361	232522	152330	193702	199860	182793	177491	143989	143894	182245	162944	196074	168939	166970	170299	170459
O96028	O96028;A0A7I2YQS5;A0A7P0P278;D6R9V2	NSD2_HUMAN	NSD2	Histone-lysine N-methyltransferase NSD2	8632.04	2458.7	6775.14	10233.9	9874.62	10448.6	11118.7	12114.4	14601.1	7472.2	10471.9	7591.17	11087.4	15872.5	18773.1	13801.3	20685.2	6631.58	20090.6	18975.4	11832.6	10084.4	8601.23	16890.4	10334.3	5508.71	10898.9	14642.1	11437.5	13113.2	12138.5
O96033	O96033	MOC2A_HUMAN	MOCS2	Molybdopterin synthase sulfur carrier subunit	46740.1	54053.4	48550.8	57072.8	55206	73227.2	38845.9	60977.5	103967	34744.7	47726.1	47650.2	71444.2	54920.3	34487.4	44027.7	60466.9	52462.8	47463.1	54092.5	57492.3	54094.8	50139.9	56562.6	53305.9	42619	43609.3	59536.6	73805.7	63088.1	59991
P00156	P00156	CYB_HUMAN	MT-CYB	Cytochrome b	NA	11038.4	11329.4	NA	6569.54	NA	4399.6	3213.44	NA	9396.43	5411.09	NA	2729.89	2156.52	5176.35	NA	5437.94	6558.43	NA	NA	2603.1	2877.2	4098.54	4939.97	4169.57	NA	NA	6166.75	6210.66	6019.31	4184.44
P00167	P00167	CYB5_HUMAN	CYB5A	Cytochrome b5	202560	399754	283132	328913	374865	231080	276344	285005	238685	192206	256250	371357	234929	302945	317807	310153	201207	369401	159593	229032	249488	274112	348195	352401	212100	281145	235760	364393	364284	303192	337181
P00325	P00325;D6RHZ6	ADH1B_HUMAN	ADH1B	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	495075	2120860	1188710	764132	634215	133518	982456	1759480	1933340	646427	3322300	5160990	73157	1770900	138178	1606640	536836	3487440	200762	835405	2062900	4451250	3446720	49465.7	1617560	3151420	1046210	2609350	2521500	2573900	2662480
P00326	P00326;P28332;A0A087WU81;D6RH17;Q8IUN7	ADH1G_HUMAN	ADH1C	Alcohol dehydrogenase 1C	50768.9	1645000	859664	199974	183192	66794.6	1546410	1173140	167624	178253	1547510	2369420	33965.4	1255150	84906.4	1578810	530470	2041040	96119.2	544760	1120310	1619820	3315020	33529.2	1261130	1881060	656621	933439	967148	902653	961235
P00338	P00338	LDHA_HUMAN	LDHA	L-lactate dehydrogenase A chain	10624300	5850710	6442370	8023370	7022850	8345160	7034540	7873680	12044700	7775650	8076680	5661040	5458440	5285680	6179880	4844960	6920420	5211560	8429120	6630220	6809670	5084470	6943140	10608100	9883420	5296670	6551930	6967330	7124990	6739270	6573230
P00352	P00352	AL1A1_HUMAN	ALDH1A1	Aldehyde dehydrogenase 1A1	398190	1322850	707026	579917	481717	486515	737373	560999	1220630	637414	1359280	1017110	330977	640616	542786	976727	540660	974540	211250	298457	493719	707484	843125	322757	423969	1198980	282936	1450100	1480980	1509640	1462020
P00367	P00367;P49448;A0A804HJD7;A0A804HKE0;A0A804HJZ0	DHE3_HUMAN	GLUD1	Glutamate dehydrogenase 1, mitochondrial	876850	1304670	2115430	943533	867160	1007200	1022720	935677	742971	744619	993579	1171260	980007	946260	677181	921176	1045360	1053720	670284	764147	876179	962942	1207930	567755	970444	1030800	906318	948016	985557	954359	959445
P00374	P00374;B4DM58	DYR_HUMAN	DHFR	Dihydrofolate reductase	19770.7	38819.2	22470.6	22443.6	46482.9	26900.8	33191.4	37613.6	7553.65	29944.2	11808.8	20288.6	57161.5	28684	80293.9	56667	57796.1	20069.4	68429.1	48656.3	51612.3	45571.3	26191.9	22683.9	37251.1	23935.9	44484.3	40303.2	35284	42597.9	40930
P00387	P00387;A0A8I5KR71;A0A8J8Z3C6;A0A087WZB1;A0A8I5KPU0;A0A8I5QKT9;A0A8J8YWN6	NB5R3_HUMAN	CYB5R3	NADH-cytochrome b5 reductase 3	1739940	1515730	789726	1946640	1168190	2685940	1422670	1616290	2934590	1176560	2380150	1684010	990973	1463670	1039240	1068650	1047760	1380590	827638	956973	1442000	1396950	1502630	1283120	1236260	1474830	1100410	1738910	1692520	1736440	1649470
P00390	P00390	GSHR_HUMAN	GSR	Glutathione reductase, mitochondrial	470736	1259670	716825	461513	811488	644367	710111	714069	529766	649158	787059	1249200	674142	1112360	659630	918661	604530	1327270	506876	579034	916019	1085830	1365870	710897	807724	1170370	806653	905994	877535	870148	870316
P00395	P00395	COX1_HUMAN	MT-CO1	Cytochrome c oxidase subunit 1	196180	279561	410529	135182	186328	125128	192726	184750	111856	162467	211775	259180	263972	195594	92460.9	211240	202248	257104	92643.6	156983	213086	197058	290738	125556	186807	274370	167080	134269	166076	137733	154745
P00403	P00403	COX2_HUMAN	MT-CO2	Cytochrome c oxidase subunit 2	1627600	2177950	3391800	1085740	1453700	959097	1623020	1461750	766197	1528530	1881520	2217340	2492030	1760000	624589	1983740	1476190	2221830	744132	1313560	1739500	1571470	2348120	970307	1765250	1902190	1506920	1741930	1759300	1848100	1813710
P00414	P00414	COX3_HUMAN	MT-CO3	Cytochrome c oxidase subunit 3	18547.9	27094.6	52585	13326.3	19877.5	10012.3	19258.4	22569.7	NA	14442.9	21120.6	24754.4	39284.4	19240.5	10465.6	30299.7	16570	20331	6718.67	19005.2	20046.5	13111.9	12649.8	13799.9	20198.2	17604	18229.4	20364	13946.1	20565.4	25292.7
P00439	P00439;A0A0U1RQY4;J3KND8	PH4H_HUMAN	PAH	Phenylalanine-4-hydroxylase	NA	10964.5	19369.9	48435.5	13856.6	8952.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6895.17	NA	NA	NA	NA	5443.72	NA
P00441	P00441;H7BYH4	SODC_HUMAN	SOD1	Superoxide dismutase [Cu-Zn]	951814	1171020	1316020	1335090	1343300	1164120	867391	972534	1405480	1356970	1214990	1020670	912360	1073310	1015690	775418	702987	1090310	1339550	902483	826732	1002600	1079320	799766	912080	949170	1043620	1384580	1381640	1403730	1404980
P00450	P00450;H7C5R1;E9PFZ2	CERU_HUMAN	CP	Ceruloplasmin	560096	534861	193258	1172240	199435	562497	331413	554550	1428060	403603	2304430	648514	178525	326872	281338	318084	366983	400665	901330	313191	390750	470138	691229	527255	309231	432073	283607	841608	822112	793920	777383
P00451	P00451	FA8_HUMAN	F8	Coagulation factor VIII	10985.3	7672.16	9489.3	36964.8	9683.64	36260.4	16429.3	12837.4	19722.6	8041.14	14718	6721.26	10320.2	15560.9	12372.9	12179.9	10032.7	16160.6	4521.17	17159.9	8566.71	12114.6	16200.5	5006.77	21271.8	9719.15	10759	16697.2	24329.2	14781.5	17600.2
P00480	P00480;A0A2R8Y829	OTC_HUMAN	OTC	Ornithine transcarbamylase, mitochondrial	37249.3	160598	92583.2	199379	55852.3	49094	95252.1	34133.2	26005.5	115772	35775.9	21224	16319.3	12535.9	114464	22601.3	14097.4	22144.8	32973.8	13255.6	9382.62	86326.7	60707	NA	8518.24	18714.1	14867.3	59574.9	59627.4	56062.9	53898.6
P00488	P00488;H0Y4W5	F13A_HUMAN	F13A1	Coagulation factor XIII A chain	506155	409071	229856	743717	228561	559732	503941	1678550	1408490	118537	2005520	2174290	55488.1	565636	87776.4	217418	240531	530258	155881	101580	706864	615417	666997	208055	481295	503012	396934	641960	656748	637275	630042
P00491	P00491;G3V5M2;A0A8V8TL37	PNPH_HUMAN	PNP	Purine nucleoside phosphorylase	1007600	1022250	1199410	717683	1142580	745862	825668	1003820	314703	1053460	604092	752483	1428990	877383	1020360	1117380	765792	899721	1738920	935020	934771	911008	969506	692875	652844	665348	902558	877309	820646	846032	867809
P00492	P00492	HPRT_HUMAN	HPRT1	Hypoxanthine-guanine phosphoribosyltransferase	603658	379343	303257	456728	319064	290346	412186	601307	268088	289155	348058	301215	339023	255762	335901	327627	316843	289601	344715	346208	381423	396292	376773	356440	239105	315868	481187	340503	361048	351714	358192
P00505	P00505	AATM_HUMAN	GOT2	Aspartate aminotransferase, mitochondrial	1313920	1770810	3414900	897138	1158760	1113280	1256830	1171850	956772	905945	1204970	1294540	1073220	1249190	1631050	1402010	1191620	1490810	646338	1308050	1152780	1299300	1629810	831965	1332840	1570630	1197220	1256140	1283500	1257920	1265420
P00519	P00519;P42684	ABL1_HUMAN	ABL1	Tyrosine-protein kinase ABL1	63440.5	53702	46401	74432.9	60039.7	74518.8	57009.5	65837.8	114804	49565.1	93472.8	75280.5	50531	76248.5	57343.5	68192.1	45078.6	59429.9	50603.5	53953.8	56246.5	69403.9	54917.2	41114.7	70725	66473.9	54280.4	79602.1	79260.4	71198.8	73451.5
P00533	P00533;C9JYS6;Q504U8	EGFR_HUMAN	EGFR	Epidermal growth factor receptor	47324	62813.8	41917.6	45976.1	57641.2	44164.8	68631.4	57920.9	66582.7	80352.9	54440	68287.2	31083.4	50427.9	30789.6	48412.5	31123.4	63715.3	44656.7	46256.6	47782.7	57490.1	65965.3	54259.3	46691.2	63777.7	37732.8	59829.6	57999.3	63783.8	60245.4
P00558	P00558	PGK1_HUMAN	PGK1	Phosphoglycerate kinase 1	8759600	5761400	6222740	6474760	4629620	6327300	6256350	6848110	5426190	4860420	5495710	5378390	4561380	6011990	4793320	5404790	5281500	5724250	6032480	5770930	6040610	5144610	6430280	7748160	5115980	5854810	5127430	6390970	6517690	6347620	6308430
P00568	P00568;Q5T9B7	KAD1_HUMAN	AK1	Adenylate kinase isoenzyme 1	684207	551242	714000	507171	764557	614219	351920	531821	1605850	489334	846702	389460	625613	350888	231093	240626	292827	435727	205479	233912	341142	345373	376320	243789	958709	533880	386011	966506	915668	949155	916479
P00734	P00734;E9PIT3;C9JV37	THRB_HUMAN	F2	Prothrombin	438550	340444	112449	422708	105470	463684	198846	370610	891490	215202	886946	272693	139820	219963	219064	248958	209247	155023	1253900	181985	286722	311878	450572	207697	245038	266618	266616	489045	503804	478762	496593
P00736	P00736;A0A3B3ISR2;B4DPQ0;F5H2D0	C1R_HUMAN	C1R	Complement C1r subcomponent	276984	250840	92650.5	654567	136182	488919	234455	317816	483507	144616	500825	219751	131375	187503	115805	151349	205136	141319	430950	143774	234365	158658	248637	285120	202744	159318	141897	278299	279151	277348	284554
P00738	P00738;A0A0C4DGL8;J3QLC9;H0Y300;H3BS21;J3QR68	HPT_HUMAN	HP	Haptoglobin	2624270	1874300	1420770	3401200	1463410	2009190	3293920	4443310	1868510	3680260	17342300	4569900	602912	1891530	2079650	1566400	2052390	2056490	4471300	2093500	3202440	2995630	5129620	1916070	1458100	2583010	1265410	4608600	4723650	4680910	4533230
P00739	P00739	HPTR_HUMAN	HPR	Haptoglobin-related protein	4709250	3333770	2399930	5736240	2573750	3547980	5455900	7346120	3473360	5901240	29177700	7887040	1190120	3517320	3532520	2819030	3876500	3457160	8055870	3723700	5795440	5333760	9034460	3284240	2935550	4860420	2483420	7829950	8169070	8039340	8341470
P00740	P00740	FA9_HUMAN	F9	Coagulation factor IX	97702.6	104141	26207.8	94127.2	35982.2	230390	62948.5	105026	287126	58649.2	178131	65356.5	97310.8	90432.6	60566	79746.7	54890.3	67778.1	345928	49218.8	62943.8	80277.8	101986	79647.4	77590.9	75037	69493	132046	123068	123636	124936
P00742	P00742	FA10_HUMAN	F10	Coagulation factor X	34916	35465.5	15786.2	39346.2	14005	34517	16558.8	34524.5	71135.5	23803	82501.1	23620.7	12813.9	18382.6	20789.7	23160.8	27068.6	24992.8	170107	19755.2	22884	25929.4	43081.2	18749.5	23835.1	27288.1	25052.7	39997.2	41625.2	42232.3	41055.3
P00746	P00746;A0A8Q3WKV6;A0A8Q3WKW0;K7ERG9	CFAD_HUMAN	CFD	Complement factor D	106100	143024	58377.1	290208	61932.5	164938	158588	173095	257018	63019.9	317770	195444	75857.6	125040	35805.8	71383.3	67774	194973	97369.5	41790.4	105821	97940.5	113068	68486.2	125494	98957.3	77564.5	240877	220813	233795	234342
P00747	P00747;A6PVI2;A0A9L9PXP2	PLMN_HUMAN	PLG	Plasminogen	635073	491084	154225	669667	186910	772854	298231	588380	1242660	411419	1224960	361338	207121	382905	335096	311111	288304	259930	2456110	269339	351551	408579	637596	304609	389410	353804	338526	743068	749929	726553	720475
P00748	P00748;A0A8Q3WL25;A0A8Q3WL35;A0A8Q3WL37	FA12_HUMAN	F12	Coagulation factor XII	45351	55433.1	6943.68	45441.4	13114.3	114797	16201.1	36173.2	96162.1	39221.6	69962.2	26018.3	16792.8	25692.6	28015.3	31343.4	29041.1	27333.6	34084.9	30125.1	19472.8	50187.3	34125.2	35397.6	47306.4	38804.5	52514.9	50590.8	56207	50274.8	52377.6
P00749	P00749;E7ET40;S4R3G7	UROK_HUMAN	PLAU	Urokinase-type plasminogen activator	12877	5271.32	5914.57	26502.3	2988.17	23084.4	9939.46	12540.8	13849.5	11052.5	NA	3850.67	5423.35	9386.95	9042.31	9930.3	9531.06	6085.6	12892.5	10430.6	16123.6	6031.22	7854.77	103398	9367.19	6620.66	20943.1	8767.28	10715.3	13602.1	11153.2
P00750	P00750;B4DN26;E7ESF4;A0A7I2V6D6;A0A7I2YQ93;B4DNJ1	TPA_HUMAN	PLAT	Tissue-type plasminogen activator	13646.7	11574.6	5147.7	11956.5	8312.33	26602.1	11400.6	7572.41	14547	6213.46	15429.1	10807	7565.21	15457.6	3346.18	8953.39	7724.57	9955.62	2719.98	8640.17	8701.06	9683.14	11691.1	4442.85	11642.1	11232.8	10051.3	13798.3	17691.9	16564.4	16185.1
P00751	P00751;B4E1Z4;E7ETN3;H7C5H1	CFAB_HUMAN	CFB	Complement factor B	658044	515064	181741	1249670	358706	712048	366527	602259	1316700	426786	1174380	494278	248915	333802	249735	232052	348632	367316	1030600	226067	383263	408080	599168	613108	307432	415146	304897	696985	677588	681870	707261
P00797	P00797;A0A1B0GUZ2	RENI_HUMAN	REN	Renin	8292.8	NA	86588.3	NA	NA	NA	NA	NA	NA	8726.56	NA	NA	37960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9578.72	NA	NA	NA	NA
P00813	P00813;A0A8Q3SIA9;A0A8Q3SIC7;F5GWI4;A0A8Q3SI46;A0A8Q3SIC0;A0A8Q3SIG8;A0A8Q3SIH0;A0A8Q3SJ63;A0A8Q3WKY2;A0A8Q3WKZ1;A0A8Q3WKZ4;A0A8Q3WKZ5;A0A8Q3WKZ6;A0A8Q3WKZ9;A0A8Q3WL01;A0A8Q3WL06;A0A8Q3WM09;A0A8Q3WM84;A0A8Q3SI69;A0A8Q3WKX5;A0A8Q3WKX8;A0A8Q3WLK2;A0A8Q3WM58;F5GXW0	ADA_HUMAN	ADA	Adenosine deaminase	56305.7	98092.5	78692.1	124242	89985.2	84775.4	104636	111247	103635	75036.9	181879	97323.2	35062.3	80266	61125.4	86594.3	84424.1	82317.1	60988.3	81396.9	87890.3	137342	70689.7	127274	71090.3	106300	94134.9	93117.6	90844.1	96867.5	95642.5
P00846	P00846	ATP6_HUMAN	MT-ATP6	ATP synthase subunit a	168269	405382	416830	188900	254313	253775	256955	237019	180770	141899	312202	313956	257276	291558	248636	247697	134580	306248	234515	183016	251342	283658	290726	213428	256314	364924	181420	295011	326104	306926	286485
P00915	P00915;E5RFE7;E5RH81;E5RHP7;E5RJF6;E5RJI8;H0YBE2	CAH1_HUMAN	CA1	Carbonic anhydrase 1	2583530	8020570	2221400	749483	665623	1486150	2167330	4789080	4063260	3756330	5574170	12412100	1107860	7195620	4415020	6685240	1898990	8588030	1143230	4037860	5840980	5447700	12258600	1433740	4740970	12718000	3010760	7552020	7590760	7566440	7642400
P00918	P00918;E5RID5;E5RK37	CAH2_HUMAN	CA2	Carbonic anhydrase 2	415470	2749240	1299930	421491	211196	441580	2092850	1519650	543419	756275	1659400	3778610	282830	2864840	860596	2367600	848340	4227420	280300	1422430	2071160	1576890	4004490	293985	1827180	4595120	1124900	2488450	2440120	2527360	2445360
P00966	P00966;Q5T6L5;Q5T6L6	ASSY_HUMAN	ASS1	Argininosuccinate synthase	690308	1130630	1720920	1803680	710660	529760	990821	592259	528092	1867260	552695	1132550	300007	1094250	1501610	1033790	405888	1380200	1571180	999007	1083270	1173310	1789000	1198530	1213260	1544910	1144370	1024020	1031150	1045010	992965
P00973	P00973;A0A6Q8PHR1;A0A7P0T854;A0A7P0T879;A0A7P0T8E1;A0A7P0TBG0;A0A7P0Z444;A0A7P0Z4B6;A0A7P0Z4N8;F8VPW7;H0YIB8;S4R3A5;S4R467;A0A7P0T8F9;A0A7P0T9Q4	OAS1_HUMAN	OAS1	2'-5'-oligoadenylate synthase 1	206155	29263	18572.1	98320.7	26543.7	32397.7	30485.9	42036.7	21021	150779	53878.8	78924.2	86916.2	26718.8	79979.6	24752.7	60645.8	137742	50019.3	75387.1	43676.5	68110.6	33633.9	149935	67628.9	153007	73808.5	53520.3	56233	56255.6	55887.9
P00995	P00995	ISK1_HUMAN	SPINK1	Serine protease inhibitor Kazal-type 1	94388.3	168456	81622.4	19535.1	276462	61526	114104	125306	10396.4	83847.6	108483	298324	3788.25	306063	12435.6	206048	455563	216685	2574.66	163781	163714	87734.4	202693	2971.07	95861.8	149582	87669.8	189253	178233	159872	159198
P01008	P01008	ANT3_HUMAN	SERPINC1	Antithrombin-III	622281	773805	421473	611690	376358	918540	354789	663014	2061180	751682	1590300	355628	413015	732002	390984	540625	391204	374467	1143200	522089	535205	803453	1116700	342674	345044	677840	590507	1064310	970948	1012360	1029420
P01009	P01009;A0A024R6N5;A0A0G2JRN3	A1AT_HUMAN	SERPINA1	Alpha-1-antitrypsin	4497260	4627380	2320200	8482050	3443610	6857070	3090630	5185710	8802490	3702570	24986200	5587040	1705750	3614510	2644700	3043340	2709960	5237980	7363080	2680780	3976930	4142020	6007960	4099810	2778770	3747630	2488630	7647110	7400250	7378060	7385970
P01011	P01011;G3V3A0	AACT_HUMAN	SERPINA3	Alpha-1-antichymotrypsin	818714	709672	266679	1647030	642662	966558	430031	817484	1839600	601506	5224290	574660	372810	565632	588001	483708	446889	899236	968663	451962	471022	500519	703149	461562	347473	545046	294237	1201040	1142890	1138810	1101620
P01019	P01019;A0A7P0T8D1;A0A7P0T9S6;A0A7P0TA52;A0A7P0TBH1;A0A7P0TAP4;A0A7P0Z441	ANGT_HUMAN	AGT	Angiotensinogen	365209	442376	142542	387811	178117	536312	362647	447206	1199540	288354	1607670	329134	180315	283892	252900	317315	282420	299185	388416	219328	319802	346125	598812	226783	261412	211306	282603	591315	583990	582158	606024
P01023	P01023	A2MG_HUMAN	A2M	Alpha-2-macroglobulin	1364980	1591850	795405	1574680	476722	1181430	962861	3126290	2434630	1027620	6403070	2539110	615246	1045800	1410160	1343660	746405	1345320	1565600	836348	1284980	1440780	2226950	920476	895742	1464220	969826	2255150	2196170	2206150	2180960
